mm-yyyy,mm/yyyy,yyyy-mm,mmm_yyyy,Date,Location,Covid_Vacs_Administered,Covid_Vacs_Administered (In thousands),Covid_Vacs_Administered (in millions),MMWR_week
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,CO,1371577,1371.58,1.37,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,CO,2691248,2691.25,2.69,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,CO,4442828,4442.83,4.44,17
May-21,May-21,2021/05,May-21,5/31/2021,CO,5613301,5613.3,5.61,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,CO,6188964,6188.96,6.19,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,CO,6305454,6305.45,6.31,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,CT,68040,68.04,0.07,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,CT,436842,436.84,0.44,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,CT,1004467,1004.47,1,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,CT,1954259,1954.26,1.95,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,CT,3220725,3220.73,3.22,17
May-21,May-21,2021/05,May-21,5/31/2021,CT,4038384,4038.38,4.04,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,CT,4405405,4405.41,4.41,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,CT,4478450,4478.45,4.48,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,DC,13167,13.17,0.01,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,DC,80526,80.53,0.08,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,DC,194746,194.75,0.19,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,DC,374297,374.3,0.37,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,DC,601789,601.79,0.6,17
May-21,May-21,2021/05,May-21,5/31/2021,DC,789663,789.66,0.79,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,DC,863593,863.59,0.86,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,DC,881223,881.22,0.88,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,DD2,54589,54.59,0.05,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,DD2,481172,481.17,0.48,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,DD2,992748,992.75,0.99,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,DD2,1926592,1926.59,1.93,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,DD2,2886464,2886.46,2.89,17
May-21,May-21,2021/05,May-21,5/31/2021,DD2,3648327,3648.33,3.65,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,DD2,4205568,4205.57,4.21,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,DD2,4387889,4387.89,4.39,28
